matricula,variable,modo,periodo,valor
1,PBC,general,start,100
1,PBC,inv,start,100
1,PBC,ia,start,80
1,PBC,general,end,100
1,PBC,inv,end,100
1,PBC,ia,end,100
2,PBC,general,start,90
2,PBC,inv,start,80
2,PBC,ia,start,90
2,PBC,general,end,80
2,PBC,inv,end,80
2,PBC,ia,end,80
3,PBC,general,start,60
3,PBC,inv,start,70
3,PBC,ia,start,60
3,PBC,general,end,90
3,PBC,inv,end,90
3,PBC,ia,end,90
4,PBC,general,start,70
4,PBC,inv,start,100
4,PBC,ia,start,70
4,PBC,general,end,100
4,PBC,inv,end,100
4,PBC,ia,end,100
5,PBC,general,start,80
5,PBC,inv,start,100
5,PBC,ia,start,80
5,PBC,general,end,100
5,PBC,inv,end,100
5,PBC,ia,end,100
6,PBC,general,start,80
6,PBC,inv,start,80
6,PBC,ia,start,80
6,PBC,general,end,80
6,PBC,inv,end,80
6,PBC,ia,end,80
7,PBC,general,start,70
7,PBC,inv,start,70
7,PBC,ia,start,70
7,PBC,general,end,80
7,PBC,inv,end,90
7,PBC,ia,end,80
8,PBC,general,start,70
8,PBC,inv,start,90
8,PBC,ia,start,70
8,PBC,general,end,100
8,PBC,inv,end,100
8,PBC,ia,end,100
9,PBC,general,start,80
9,PBC,inv,start,80
9,PBC,ia,start,90
9,PBC,general,end,80
9,PBC,inv,end,80
9,PBC,ia,end,100
10,PBC,general,start,90
10,PBC,inv,start,90
10,PBC,ia,start,90
10,PBC,general,end,80
10,PBC,inv,end,80
10,PBC,ia,end,80
11,PBC,general,start,80
11,PBC,inv,start,90
11,PBC,ia,start,80
11,PBC,general,end,100
11,PBC,inv,end,90
11,PBC,ia,end,100
12,PBC,general,start,60
12,PBC,inv,start,80
12,PBC,ia,start,70
12,PBC,general,end,90
12,PBC,inv,end,90
12,PBC,ia,end,100
13,PBC,general,start,90
13,PBC,inv,start,80
13,PBC,ia,start,90
13,PBC,general,end,100
13,PBC,inv,end,100
13,PBC,ia,end,100
14,PBC,general,start,70
14,PBC,inv,start,70
14,PBC,ia,start,70
14,PBC,general,end,90
14,PBC,inv,end,90
14,PBC,ia,end,90
15,PBC,general,start,90
15,PBC,inv,start,90
15,PBC,ia,start,90
15,PBC,general,end,90
15,PBC,inv,end,90
15,PBC,ia,end,90
16,PBC,general,start,80
16,PBC,inv,start,80
16,PBC,ia,start,70
16,PBC,general,end,80
16,PBC,inv,end,80
16,PBC,ia,end,80
17,PBC,general,start,90
17,PBC,inv,start,90
17,PBC,ia,start,90
17,PBC,general,end,90
17,PBC,inv,end,90
17,PBC,ia,end,90
18,PBC,general,start,40
18,PBC,inv,start,70
18,PBC,ia,start,40
18,PBC,general,end,100
18,PBC,inv,end,100
18,PBC,ia,end,100
19,PBC,general,start,100
19,PBC,inv,start,100
19,PBC,ia,start,80
19,PBC,general,end,100
19,PBC,inv,end,100
19,PBC,ia,end,100
20,PBC,general,start,100
20,PBC,inv,start,100
20,PBC,ia,start,90
20,PBC,general,end,90
20,PBC,inv,end,100
20,PBC,ia,end,90
21,PBC,general,start,60
21,PBC,inv,start,80
21,PBC,ia,start,60
21,PBC,general,end,60
21,PBC,inv,end,80
21,PBC,ia,end,60
22,PBC,general,start,90
22,PBC,inv,start,90
22,PBC,ia,start,100
22,PBC,general,end,100
22,PBC,inv,end,90
22,PBC,ia,end,100
23,PBC,general,start,100
23,PBC,inv,start,100
23,PBC,ia,start,50
23,PBC,general,end,80
23,PBC,inv,end,90
23,PBC,ia,end,80
24,PBC,general,start,90
24,PBC,inv,start,90
24,PBC,ia,start,90
24,PBC,general,end,90
24,PBC,inv,end,70
24,PBC,ia,end,90
1,INT,general,start,4
1,INT,inv,start,4
1,INT,ia,start,4
1,INT,general,end,5
1,INT,inv,end,5
1,INT,ia,end,1
2,INT,general,start,5
2,INT,inv,start,5
2,INT,ia,start,5
